parameter_id,name,value,units,constant,pbpko_class,chebi_ids
PPla,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PRF,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00394,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
TMC,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00012,
KT,,0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00535,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
Free,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00149,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
FreeF,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00149,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
ktrans1c,,0,per_h,false,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
ktrans2c,,0,per_h,false,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
ktrans3c,,0,per_h,false,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
ktrans4c,,0,per_h,false,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
HALF_LIFE,,0,h,false,http://purl.obolibrary.org/obo/PBPKO_00262,
IVHOURLYDOSE,,0,mg_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00322,
Vol_dist,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00103,
VFet_av,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00103,
VFet,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00103,
VAF,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00103,
Htc,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
HtcINIT,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
VPlasF,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00103,
VPlas,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00103,
VPlasINIT,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00103,
VPla_av,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00374,
VPla,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00374,
VL,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00103,
VK,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00103,
Vfil,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00103,
VG,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00103,
VMamINIT,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00103,
VFatINIT,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00085,
VR,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00103,
VRF,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00103,
VMam,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00103,
VFat,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00085,
BW,,0,kg,false,http://purl.obolibrary.org/obo/PBPKO_00008,
QFet,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00012,
QRF,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00012,
QCINIT,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00013,
QCPINIT,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00013,
