parameter_id,name,value,units,constant,pbpko_class,chebi_ids
BirthYear_child,"Child birth year (scenario parameter, default HELIX 2007)",2007.0,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
DecreaseIntake_1,One-time intake reduction factor post-2000 (McSIM .in),0.20,h,true,http://purl.obolibrary.org/obo/PBPKO_00551,
DecreaseIntake_2,Annual intake reduction rate post-2001 (McSIM .in),0.04,h,true,http://purl.obolibrary.org/obo/PBPKO_00551,
Abs_child,"Child oral absorption fraction (McSIM .in, both PFOA/PFOS)",1.0,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
PFOA_FI_infant,"PFOA dietary intake multiplier infant (&lt;1yr, Ratier 2024 §2.5.2/EFSA2020)",3.99,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
PFOA_FI_toddler,"PFOA dietary intake multiplier toddler (1-3yr, Ratier 2024 §2.5.2/EFSA2020)",4.21,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
PFOA_FI_children,"PFOA dietary intake multiplier children (3-10yr, Ratier 2024 §2.5.2/EFSA2020)",2.47,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
PFOA_FI_ado,"PFOA dietary intake multiplier adolescent (10-18yr, Ratier 2024 §2.5.2/EFSA2020)",1.41,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
PFOS_FI_infant,"PFOS dietary intake multiplier infant (&lt;1yr, Ratier 2024 §2.5.2/EFSA2020)",3.65,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
PFOS_FI_toddler,"PFOS dietary intake multiplier toddler (1-3yr, Ratier 2024 §2.5.2/EFSA2020)",3.80,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
PFOS_FI_children,"PFOS dietary intake multiplier children (3-10yr, Ratier 2024 §2.5.2/EFSA2020)",2.75,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
PFOS_FI_ado,"PFOS dietary intake multiplier adolescent (10-18yr, Ratier 2024 §2.5.2/EFSA2020)",1.41,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
year_child,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
PercentVar_child,,1,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
Frac_Intake_child,,1,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
RateIng,Oral intake rate (mg/h),0,mg_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00322,
C_milk_input,Breast milk PFAS concentration (mg/L),0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
V_milk_daily,Daily breast milk volume consumed (L/d),0.8,L,false,http://purl.obolibrary.org/obo/PBPKO_00103,
kmet_L,Hepatic metabolism rate constant (1/h),0,per_h,false,http://purl.obolibrary.org/obo/PBPKO_00237,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
kfeces,Fecal elimination rate constant (1/h),0.001,per_h,false,http://purl.obolibrary.org/obo/PBPKO_00237,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
is_preg,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
is_lact,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
age_child_yr,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
kelim_child,Child elimination rate constant (1/h); set per compound from Ratier 2024 HalfLife,0,per_h,false,http://purl.obolibrary.org/obo/PBPKO_00237,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_milk_fplas_frac,"PFOA fraction of child body load in free plasma (derived, steady-state mass balance)",0.00815,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00436,https://identifiers.org/CHEBI:35924
PFOS_milk_fplas_frac,"PFOS fraction of child body load in free plasma (derived, steady-state mass balance)",0.00588,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00436,https://identifiers.org/CHEBI:36179
milk_fplas_frac,Fraction of child body load in free plasma (compound-selected via PFOA/PFOS selector),0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00436,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
BW_birth,,0,kg,false,http://purl.obolibrary.org/obo/PBPKO_00008,
PL,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00170,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
Pfat,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00174,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
Pbr,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00515,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
Plg,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00179,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PK,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00171,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
Pmar,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PG,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00166,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
Pmam,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00517,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
Psk,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00176,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PR,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00518,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
Ppla,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PRF,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00394,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
TMC,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00012,
KT,,0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00535,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
Free,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00149,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
FreeF,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00149,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
ktrans1c,,0,per_h,false,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
ktrans2c,,0,per_h,false,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
ktrans3c,,0,per_h,false,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
ktrans4c,,0,per_h,false,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
VFet,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00103,
Vfliv,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00077,
Vfkid,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00079,
Vfbr,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00093,
Vfbld,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00103,
Vfplas,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00103,
Vfrest,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00103,
VL,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00103,
VK,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00103,
Vfil,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00103,
VG,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00103,
Vbr,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00093,
Vlg,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00097,
Vmar,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00103,
Vsk,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00089,
Vmam,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00103,
Vfat,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00085,
Vplas,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00103,
Vplac,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00374,
Vrest,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00103,
VRF,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00103,
BW,,0,kg,false,http://purl.obolibrary.org/obo/PBPKO_00008,
BDW_child_p0,,0,kg,false,http://purl.obolibrary.org/obo/PBPKO_00008,
BDW_child_bridge,,0,kg,false,http://purl.obolibrary.org/obo/PBPKO_00008,
BDW_child_pb,,0,kg,false,http://purl.obolibrary.org/obo/PBPKO_00008,
BDW_child,,0,kg,false,http://purl.obolibrary.org/obo/PBPKO_00008,
gch_v0,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
gch_m0,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
