parameter_id,name,value,units,constant,pbpko_class,chebi_ids
scVend_foetus_3,,0.11,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scVend_foetus_4,,0.001,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scVend_foetus_5,,0.00661,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scVend_foetus_6,,0.013,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scVend_foetus_7,,0.181,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scVend_foetus_8,,0.001552,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scVend_foetus_9,,0.002,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scVend_foetus_10,,0.0313,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scVend_foetus_11,,0.003,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scVend_foetus_12,,0.000389,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scVend_foetus_13,,0.001,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scVend_foetus_14,,0.00716,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scVend_foetus_15,,0.0034,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scVend_foetus_16,,0.02607,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scVend_foetus_17,,0.0034,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scVend_foetus_18,,0.0367,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scVend_foetus_22,,0.0771,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
C_mp_liver,,45000,mg_per_L,true,http://purl.obolibrary.org/obo/PBPKO_00649,
C_mp_lung,,20000,mg_per_L,true,http://purl.obolibrary.org/obo/PBPKO_00649,
C_mp_kidney,,45000,mg_per_L,true,http://purl.obolibrary.org/obo/PBPKO_00649,
C_mp_gut,,3000,mg_per_L,true,http://purl.obolibrary.org/obo/PBPKO_00649,
C_mp_placenta,,11300,mg_per_L,true,http://purl.obolibrary.org/obo/PBPKO_00649,
C_mp_liver_foetus,,26000,mg_per_L,true,http://purl.obolibrary.org/obo/PBPKO_00649,
albuminConc0_1,,35,mg_per_L,true,http://purl.obolibrary.org/obo/PBPKO_00649,
albuminConc0_2,,5,mg_per_L,true,http://purl.obolibrary.org/obo/PBPKO_00649,
alphaglyConc0,,0.6,mg_per_L,true,http://purl.obolibrary.org/obo/PBPKO_00649,
albuminConc_fet0,,1.5,mg_per_L,true,http://purl.obolibrary.org/obo/PBPKO_00649,
alphaglyConc_fet0,,0.1,mg_per_L,true,http://purl.obolibrary.org/obo/PBPKO_00649,
BDW_foetus_Var,,1,kg,true,http://purl.obolibrary.org/obo/PBPKO_00008,
WeightGainPregnancy_Var,,1,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
BirthYear,,2007,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
Intake_var,,1,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
Frac_Intake_Infant,,3.65,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
Frac_Intake_Toddler,,3.8,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
Frac_Intake_Children,,2.75,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
